id	PND	Forelimb_grasp	Forelimb_placing	Gait	Walk	Surface_T_(s)	NG_turn	NG_top	Auditory_startle	Tactile_startle	Air_righting	Wire	Weight_(g)	Ears_unfolding	Ears_twitch	Gait_b	Walk_b	Eyes_opened_left	Eyes_opened_right	Incisor_eruption
10	20	1	1	55.65	60.00	00.23	60.00	60.00	1	1	1	22.29	5.503	1	1	1	1	1	1	1
0	21	1	1	04.05	09.31	0.16	17.49	60.00	1	1	1	60.00	6.929	1	1	1	1	1	1	1
1	21	1	1	12.93	14.41	0.23	60.00	60.00	1	1	1	24.82	6.616	1	1	1	1	1	1	1
2	21	1	1	08.58	11.25	0.14	05.81	60.00	1	1	1	36.57	8.202	1	1	1	1	1	1	1
3	21	1	1	60.00	60.00	0.32	08.93	60.00	1	1	1	60.00	7.048	1	1	1	1	1	1	1
4	21	1	1	60.00	60.00	0.25	60.00	60.00	1	1	1	60.00	8.844	1	1	1	1	1	1	1
5	21	1	1	60.00	60.00	0.22	60.00	60.00	1	1	1	23.82	7.594	1	1	1	1	1	1	1
6	21	1	1	60.00	60.00	0.31	60.00	60.00	1	1	1	60.00	8.048	1	1	1	1	1	1	1
7	21	1	1	00.73	0.210	0.21	04.92	07.25	1	1	1	17.32	6.650	1	1	1	1	1	1	1
8	21	1	1	01.77	03.75	0.34	60.00	60.00	1	1	1	24.65	6.00	1	1	1	1	1	1	1
9	21	1	1	00.61	01.75	0.13	60.00	60.00	1	1	1	03.82	4.676	1	1	1	1	1	1	1
10	21	1	1	60.00	60.00	0.22	05.02	60.00	1	1	1	32.75	5.966	1	1	1	1	1	1	1
